delaytimes_ms,delay_ms
22.866,110.0
22.872,105.21428571428571
22.873,106.09375
22.874,109.0
22.875,111.55555555555556
22.882,105.875
22.883,106.5
22.884,109.39393939393939
22.885,112.15384615384616
22.892,106.0
22.893,106.54838709677419
22.894,122.51612903225806
22.895,145.25
22.902,153.4
22.903,189.38709677419354
22.904,250.0909090909091
22.905,286.7
22.913,292.6666666666667
22.914,326.258064516129
22.915,382.2
22.916,438.6363636363636
22.917,469.6666666666667
22.923,489.64285714285717
22.924,535.3928571428571
22.925,567.8571428571429
22.933,583.1764705882352
22.934,622.6
22.935,669.1724137931035
22.936,712.6363636363636
22.943,742.3333333333334
22.944,780.6428571428571
22.945,828.2413793103449
22.946,863.7857142857143
22.953,881.8666666666667
22.954,918.7777777777778
22.955,967.3448275862069
22.956,1011.0
22.963,1035.0
22.964,1040.96875
22.965,1045.2666666666667
22.966,1047.5384615384614
22.973,1042.75
22.974,1045.774193548387
22.975,1052.1724137931035
22.976,1058.75
22.983,1055.6875
22.984,1058.7096774193549
22.985,1062.9411764705883
22.986,1065.7142857142858
22.993,1060.111111111111
22.994,1062.1612903225807
22.995,1066.0714285714287
22.996,1068.764705882353
23.003,1064.0
23.004,1063.875
23.005,1063.4864864864865
23.006,1065.3076923076924
23.014,1059.3846153846155
23.024,1051.2
23.034,1042.6666666666667
23.044,1033.8333333333333
23.054,1024.8
23.064,1015.6666666666666
23.074,1006.8333333333334
23.084,997.5
23.085,997.0
23.094,988.5
23.095,988.0
23.105,978.5714285714286
23.115,969.8
23.125,960.5
23.135,951.1666666666666
23.145,942.0
23.155,932.8571428571429
23.165,924.0
23.175,914.8
23.185,905.0
23.186,905.0
23.195,896.0
23.196,896.0
23.206,887.0
23.216,877.0
23.226,868.3333333333334
23.236,859.5
23.246,850.0
23.256,841.0
23.266,832.0
23.276,822.6666666666666
23.286,813.0
23.287,813.0
23.297,803.8333333333334
23.307,794.8571428571429
23.317,786.0
23.327,776.6
23.337,767.6
23.347,758.5
23.357,749.5
23.367,740.25
23.368,740.0
23.377,731.5
23.378,731.0
23.387,722.0
23.388,721.3333333333334
23.398,712.4285714285714
23.408,703.2
23.418,694.3333333333334
23.428,685.4285714285714
23.438,676.5
23.448,667.5
23.458,658.5
23.459,658.0
23.468,649.0
23.469,648.0
24.126,1.0
24.136,1.0
24.146,1.0
24.157,1.0
24.167,1.0
24.177,1.9333333333333333
24.178,3.8095238095238093
24.179,5.083333333333333
24.18,6.086956521739131
